Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,ISI,127143,Pleuronectes platessa,166,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,166,M,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,167,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,167,M,-9,0,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,168,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,168,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,169,M,-9,0,0,1,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,171,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,171,M,-9,0,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,172,M,-9,0,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,173,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,174,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,174,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,175,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,175,M,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,176,F,-9,0,2,1,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,177,F,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,177,M,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,178,M,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,179,M,-9,0,2,1,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,181,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,181,M,-9,1,2,0,0,0,0,0,0,0,0,0
